req_Number,positions
fd53fc53-d7e8-41d6-8788-fbda3df4e4fe,"{'positions':[{'position_id': '0', 'request_text': 'проволока вр 4-----0.5 тн по 3 м ', 'ei': 'т', 'value': '0.5', 'material1_id': '000000000000029326', 'material2_id': '000000000000029311', 'material3_id': '000000000000029309', 'material4_id': '000000000000087684', 'material5_id': '000000000000107988'}, {'position_id': '1', 'request_text': 'проволока вр 4-----0.5 тн по 3 м ', 'ei': 'т', 'value': '0.5', 'material1_id': '000000000000029326', 'material2_id': '000000000000029311', 'material3_id': '000000000000029309', 'material4_id': '000000000000087684', 'material5_id': '000000000000107988'}, {'position_id': '2', 'request_text': 'проволока вр 4-----0.5 тн по м арм 16 а-1-----1.7 м---6 шт  ', 'ei': 'шт', 'value': '6', 'material1_id': '000000000000008684', 'material2_id': '000000000000008632', 'material3_id': '000000000000009237', 'material4_id': '000000000000009213', 'material5_id': '000000000000009255'}]}"
308ce3b4-3679-49ad-8126-ace0405fb953,"{'positions':[{'position_id': '0', 'request_text': 'проволока вр 4-----0.5 тн по 3 м ', 'ei': 'т', 'value': '0.5', 'material1_id': '000000000000029326', 'material2_id': '000000000000029311', 'material3_id': '000000000000029309', 'material4_id': '000000000000087684', 'material5_id': '000000000000107988'}, {'position_id': '1', 'request_text': 'проволока вр 4-----0.5 тн по 3 м ', 'ei': 'т', 'value': '0.5', 'material1_id': '000000000000029326', 'material2_id': '000000000000029311', 'material3_id': '000000000000029309', 'material4_id': '000000000000087684', 'material5_id': '000000000000107988'}, {'position_id': '2', 'request_text': 'проволока вр 4-----0.5 тн по м арм 16 а-1-----1.7 м---6 шт  ', 'ei': 'шт', 'value': '6', 'material1_id': '000000000000008684', 'material2_id': '000000000000008632', 'material3_id': '000000000000009237', 'material4_id': '000000000000009213', 'material5_id': '000000000000009255'}]}"
330ab53b-68b9-45d0-9daa-f18fb90daaca,"{'positions':[{'position_id': '0', 'request_text': 'арматура д. 10 а 500 с 5 тн ', 'ei': 'т', 'value': '5', 'material1_id': '000000000000000618', 'material2_id': '000000000000000620', 'material3_id': '000000000000000144', 'material4_id': '000000000000000137', 'material5_id': '000000000000000121'}, {'position_id': '1', 'request_text': 'арматура д. 14 а 500 с 5.5 тн ', 'ei': 'т', 'value': '5.5', 'material1_id': '000000000000000268', 'material2_id': '000000000000000265', 'material3_id': '000000000000000255', 'material4_id': '000000000000000242', 'material5_id': '000000000000000240'}, {'position_id': '2', 'request_text': 'арматура д. 20 а 500 с 1 тн ', 'ei': 'т', 'value': '1', 'material1_id': '000000000000095681', 'material2_id': '000000000000116939', 'material3_id': '000000000000117803', 'material4_id': '000000000000095697', 'material5_id': '000000000000095688'}, {'position_id': '3', 'request_text': 'арматура д. 10 а 240 0.5 тн ', 'ei': 'т', 'value': '0.5', 'material1_id': '000000000000107777', 'material2_id': '000000000000097201', 'material3_id': '000000000000098883', 'material4_id': '000000000000095620', 'material5_id': '000000000000095603'}]}"
d9295f0a-ea9b-41fe-a14e-fa2bdc5e1406,"{'positions':[{'position_id': '0', 'request_text': 'арматура д. 10 а 500 с 5 тн ', 'ei': 'т', 'value': '5', 'material1_id': '000000000000000618', 'material2_id': '000000000000000620', 'material3_id': '000000000000000144', 'material4_id': '000000000000000137', 'material5_id': '000000000000000121'}, {'position_id': '1', 'request_text': 'арматура д. 14 а 500 с 5.5 тн ', 'ei': 'т', 'value': '5.5', 'material1_id': '000000000000000268', 'material2_id': '000000000000000265', 'material3_id': '000000000000000255', 'material4_id': '000000000000000242', 'material5_id': '000000000000000240'}, {'position_id': '2', 'request_text': 'арматура д. 20 а 500 с 1 тн ', 'ei': 'т', 'value': '1', 'material1_id': '000000000000095681', 'material2_id': '000000000000116939', 'material3_id': '000000000000117803', 'material4_id': '000000000000095697', 'material5_id': '000000000000095688'}, {'position_id': '3', 'request_text': 'арматура д. 10 а 240 0.5 тн ', 'ei': 'т', 'value': '0.5', 'material1_id': '000000000000107777', 'material2_id': '000000000000097201', 'material3_id': '000000000000098883', 'material4_id': '000000000000095620', 'material5_id': '000000000000095603'}]}"
4dee071a-f0d5-42f9-a05d-1286fd5a00b0,"{'positions':[{'position_id': '0', 'request_text': 'профиль 45 б 1 84 м 7 шт . ', 'ei': 'шт', 'value': '7', 'material1_id': '000000000000100502', 'material2_id': '000000000000099746', 'material3_id': '000000000000060785', 'material4_id': '000000000000060784', 'material5_id': '000000000000083199'}, {'position_id': '1', 'request_text': 'профиль 25 к 2 108 м 9 шт . ', 'ei': 'шт', 'value': '9', 'material1_id': '000000000000100502', 'material2_id': '000000000000099746', 'material3_id': '000000000000077758', 'material4_id': '000000000000078101', 'material5_id': '000000000000081280'}, {'position_id': '2', 'request_text': 'профиль 30 ш 1 12 м 1 шт . ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000060382', 'material2_id': '000000000000060380', 'material3_id': '000000000000060379', 'material4_id': '000000000000060376', 'material5_id': '000000000000060398'}, {'position_id': '3', 'request_text': 'профиль 25 ш 1 72 м 6 шт . ', 'ei': 'шт', 'value': '6', 'material1_id': '000000000000100502', 'material2_id': '000000000000099746', 'material3_id': '000000000000077755', 'material4_id': '000000000000078105', 'material5_id': '000000000000115048'}, {'position_id': '4', 'request_text': 'профиль 20 б 1 180 м 15 шт . ', 'ei': 'шт', 'value': '15', 'material1_id': '000000000000093518', 'material2_id': '000000000000100502', 'material3_id': '000000000000099746', 'material4_id': '000000000000060927', 'material5_id': '000000000000060733'}, {'position_id': '5', 'request_text': 'труба 160 160 4 1 шт . ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000099485', 'material2_id': '000000000000111035', 'material3_id': '000000000000007991', 'material4_id': '000000000000007992', 'material5_id': '000000000000003045'}, {'position_id': '6', 'request_text': 'труба 100 100 4 6 шт . ', 'ei': 'шт', 'value': '6', 'material1_id': '000000000000069201', 'material2_id': '000000000000090035', 'material3_id': '000000000000099288', 'material4_id': '000000000000108223', 'material5_id': '000000000000007908'}, {'position_id': '7', 'request_text': 'труба 80 80 4 2 шт . ', 'ei': 'шт', 'value': '2', 'material1_id': '000000000000100049', 'material2_id': '000000000000096620', 'material3_id': '000000000000091590', 'material4_id': '000000000000112270', 'material5_id': '000000000000090033'}, {'position_id': '8', 'request_text': 'уголок 80 80 6 5 шт . ', 'ei': 'шт', 'value': '5', 'material1_id': '000000000000069393', 'material2_id': '000000000000078034', 'material3_id': '000000000000009045', 'material4_id': '000000000000009035', 'material5_id': '000000000000069436'}, {'position_id': '9', 'request_text': 'уголок 75 50 5 5 шт . ', 'ei': 'шт', 'value': '5', 'material1_id': '000000000000069434', 'material2_id': '000000000000093799', 'material3_id': '000000000000008899', 'material4_id': '000000000000008896', 'material5_id': '000000000000008895'}, {'position_id': '10', 'request_text': 'уголок 160 100 10 1 шт . ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000008596', 'material2_id': '000000000000008593', 'material3_id': '000000000000008592', 'material4_id': '000000000000008590', 'material5_id': '000000000000008589'}, {'position_id': '11', 'request_text': 'квадрат 50 50 69 м  ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000111054', 'material2_id': '000000000000003677', 'material3_id': '000000000000003675', 'material4_id': '000000000000003674', 'material5_id': '000000000000118350'}]}"
f670c002-bdac-4660-b3b1-c5c8d050e84e,"{'positions':[{'position_id': '0', 'request_text': 'профиль 45 б 1 84 м 7 шт . ', 'ei': 'шт', 'value': '7', 'material1_id': '000000000000100502', 'material2_id': '000000000000099746', 'material3_id': '000000000000060785', 'material4_id': '000000000000060784', 'material5_id': '000000000000083199'}, {'position_id': '1', 'request_text': 'профиль 25 к 2 108 м 9 шт . ', 'ei': 'шт', 'value': '9', 'material1_id': '000000000000100502', 'material2_id': '000000000000099746', 'material3_id': '000000000000077758', 'material4_id': '000000000000078101', 'material5_id': '000000000000081280'}, {'position_id': '2', 'request_text': 'профиль 30 ш 1 12 м 1 шт . ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000060382', 'material2_id': '000000000000060380', 'material3_id': '000000000000060379', 'material4_id': '000000000000060376', 'material5_id': '000000000000060398'}, {'position_id': '3', 'request_text': 'профиль 25 ш 1 72 м 6 шт . ', 'ei': 'шт', 'value': '6', 'material1_id': '000000000000100502', 'material2_id': '000000000000099746', 'material3_id': '000000000000077755', 'material4_id': '000000000000078105', 'material5_id': '000000000000115048'}, {'position_id': '4', 'request_text': 'профиль 20 б 1 180 м 15 шт . ', 'ei': 'шт', 'value': '15', 'material1_id': '000000000000093518', 'material2_id': '000000000000100502', 'material3_id': '000000000000099746', 'material4_id': '000000000000060927', 'material5_id': '000000000000060733'}, {'position_id': '5', 'request_text': 'труба 160 160 4 1 шт . ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000099485', 'material2_id': '000000000000111035', 'material3_id': '000000000000007991', 'material4_id': '000000000000007992', 'material5_id': '000000000000003045'}, {'position_id': '6', 'request_text': 'труба 100 100 4 6 шт . ', 'ei': 'шт', 'value': '6', 'material1_id': '000000000000069201', 'material2_id': '000000000000090035', 'material3_id': '000000000000099288', 'material4_id': '000000000000108223', 'material5_id': '000000000000007908'}, {'position_id': '7', 'request_text': 'труба 80 80 4 2 шт . ', 'ei': 'шт', 'value': '2', 'material1_id': '000000000000100049', 'material2_id': '000000000000096620', 'material3_id': '000000000000091590', 'material4_id': '000000000000112270', 'material5_id': '000000000000090033'}, {'position_id': '8', 'request_text': 'уголок 80 80 6 5 шт . ', 'ei': 'шт', 'value': '5', 'material1_id': '000000000000069393', 'material2_id': '000000000000078034', 'material3_id': '000000000000009045', 'material4_id': '000000000000009035', 'material5_id': '000000000000069436'}, {'position_id': '9', 'request_text': 'уголок 75 50 5 5 шт . ', 'ei': 'шт', 'value': '5', 'material1_id': '000000000000069434', 'material2_id': '000000000000093799', 'material3_id': '000000000000008899', 'material4_id': '000000000000008896', 'material5_id': '000000000000008895'}, {'position_id': '10', 'request_text': 'уголок 160 100 10 1 шт . ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000008596', 'material2_id': '000000000000008593', 'material3_id': '000000000000008592', 'material4_id': '000000000000008590', 'material5_id': '000000000000008589'}, {'position_id': '11', 'request_text': 'квадрат 50 50 69 м  ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000111054', 'material2_id': '000000000000003677', 'material3_id': '000000000000003675', 'material4_id': '000000000000003674', 'material5_id': '000000000000118350'}]}"
3c4283f0-d7d4-4043-83a1-e30f7f1598fd,"{'positions':[{'position_id': '0', 'request_text': 'лист 2 ст 3 5 шт  ', 'ei': 'шт', 'value': '5', 'material1_id': '000000000000027286', 'material2_id': '000000000000027325', 'material3_id': '000000000000078578', 'material4_id': '000000000000027318', 'material5_id': '000000000000027309'}, {'position_id': '1', 'request_text': 'лист 3 ст 3 2 шт  ', 'ei': 'шт', 'value': '2', 'material1_id': '000000000000018360', 'material2_id': '000000000000017052', 'material3_id': '000000000000027302', 'material4_id': '000000000000102467', 'material5_id': '000000000000018561'}, {'position_id': '2', 'request_text': 'лист 4 ст 3 2 шт  ', 'ei': 'шт', 'value': '2', 'material1_id': '000000000000018360', 'material2_id': '000000000000017052', 'material3_id': '000000000000027309', 'material4_id': '000000000000102467', 'material5_id': '000000000000018561'}, {'position_id': '3', 'request_text': 'круг 24 ст 35 1-3 м ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000001880', 'material2_id': '000000000000001892', 'material3_id': '000000000000001890', 'material4_id': '000000000000001876', 'material5_id': '000000000000001875'}, {'position_id': '4', 'request_text': 'круг 30 ст 35 1-3 м ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000002021', 'material2_id': '000000000000002007', 'material3_id': '000000000000002020', 'material4_id': '000000000000002446', 'material5_id': '000000000000002018'}, {'position_id': '5', 'request_text': 'труба вгп 32 3.2 3 м ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000007254', 'material2_id': '000000000000089169', 'material3_id': '000000000000089130', 'material4_id': '000000000000069002', 'material5_id': '000000000000114269'}, {'position_id': '6', 'request_text': 'уголок 50 4 ст 3 6 м ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000008891', 'material2_id': '000000000000117041', 'material3_id': '000000000000069384', 'material4_id': '000000000000079148', 'material5_id': '000000000000069367'}, {'position_id': '7', 'request_text': 'уголок 70 8 ст 3 6 м ', 'ei': 'шт', 'value': '1', 'material1_id': '000000000000085426', 'material2_id': '000000000000008581', 'material3_id': '000000000000008521', 'material4_id': '000000000000069405', 'material5_id': '000000000000085427'}]}"
2c2c70a1-c3d0-4bae-b68d-5ed8b9094746,{'positions':[]}
a5715314-ed0b-43d3-8609-1200b2b75cea,{'positions':[]}
fdf77e70-5934-4102-be5e-332c4f4589d7,{'positions':[]}
